Case,Distance_m,Range_sigma_um,Angle_sigma_urad,Roughness_sigma_um,Equivalent_DoubleAxis_PointSigma_mm,Measured_Point_RMS_mm,Measured_Point_P95_mm,Mean_Origin_Error_mm,P95_Origin_Error_mm,Mean_Rotation_Error_deg,P95_Rotation_Error_deg,Mean_Normal_Angle_Error_deg,P95_Normal_Angle_Error_deg,Mean_Abs_d_Error_um,P95_Abs_d_Error_um,Mean_Raw_Normal_Orthogonality_Error,OriginError_to_MeasuredPointRMS_Ratio
RoughnessOnly_10um,5,10,10,10,0.0714142842854285,0.00999598963421442,0.0195712188080289,0.000712097087898831,0.00126331705431547,0.000126947200689518,0.000243611853078359,0.000114392337341363,0.00017719915887443,6.34210730345444,11.2826807148655,1.7506428492994e-06,0.0712382779451326
RoughnessOnly_10um,10,10,10,10,0.141774468787578,0.0100053889481791,0.0196048311000698,0.000720932669978941,0.00129079950284436,0.000131596963329637,0.000241088221543638,0.000112378231684591,0.000173273447884126,12.5511099471018,21.4783225711224,1.8373414116906e-06,0.0720544372350605
RoughnessOnly_10um,50,10,10,10,0.707177488329486,0.0100063586813523,0.019602452862943,0.000716280602846757,0.00123898889030718,0.000128174297334172,0.000230556816816838,0.000110743272018625,0.000171585574780894,61.7609625739776,108.137360874228,1.72142679712886e-06,0.0715825432263992
RoughnessOnly_10um,100,10,10,10,1.41424891727022,0.0100081871466987,0.0196149247291407,0.000710808195710341,0.00128977960785865,0.000124644077279679,0.000227123352072402,0.000112095157047693,0.000181645751189148,128.43777973415,235.284713877615,1.73555294221389e-06,0.0710226722673557
RoughnessOnly_10um,150,10,10,10,2.12134391365474,0.0100033889416089,0.0195800638070984,0.000684456607212019,0.00126784565693668,0.00013223696859128,0.000255084225591613,0.000115317942336256,0.000174770881268799,198.119092186961,329.069762690123,1.80175921884515e-06,0.0684224727447152
RoughnessOnly_10um,200,10,10,10,2.82844480236048,0.0100047770011595,0.0195909787459547,0.000700118940478019,0.00122390420464107,0.000128579741929077,0.000239717946669562,0.000114067291586011,0.000182894007709513,257.111310435,469.565633435269,1.74421901886715e-06,0.069978465326801
RangeOnly_10um,5,10,10,10,0.0714142842854285,0.0100022000286696,0.0196063378522407,0.000359849299395423,0.00074650241917153,0.000101968892714878,0.000222884751796479,4.74160862978455e-05,9.25981378893987e-05,1.9048842795339,3.98101167942514,8.30440815499031e-07,0.0359770148931213
RangeOnly_10um,10,10,10,10,0.141774468787578,0.0099909937598913,0.019584932048937,0.000380337432444611,0.000699480773149478,9.99057035045912e-05,0.000206760531498768,4.92886112381132e-05,9.14177885996652e-05,4.15619522171284,7.97390805050702,8.75500774226951e-07,0.0380680282247268
RangeOnly_10um,50,10,10,10,0.707177488329486,0.00999859961865677,0.0195895083751517,0.000381955767723994,0.000775680442539991,0.000107281505115612,0.000207750338917435,5.51300083014355e-05,9.43456274198385e-05,24.7079335303832,46.5785512608304,9.42887237263067e-07,0.0382009263588561
RangeOnly_10um,100,10,10,10,1.41424891727022,0.00999977998583778,0.0195672208672161,0.000377072490183681,0.000752129127084872,0.000102611334126138,0.000203486217019228,5.43776279586595e-05,9.33938747362885e-05,49.861104881121,91.3168968833607,9.40763934558081e-07,0.0377080786495014
